row_id,model,role,response_format,coordinate_policy,pair_count,answer_rows,point_rows_original,point_rows_converted,answer_original,answer_converted,raw_point_original,raw_point_converted,norm1000_point_original,norm1000_point_converted,raw_pair_hit_agreement,raw_both_hit_pairs,norm1000_pair_hit_agreement,norm1000_both_hit_pairs,answer_pair_agreement,claim_boundary,source_score_summary
gemma4_expanded30,Gemma4 local,canonical,structured_text,normalized-1000 primary; raw-pixel diagnostic,30,60/60,30/30,30/30,30/30,30/30,1/30,1/30,27/30,29/30,30/30,1/30,28/30,27/30,30/30,frozen_expanded30_target_centered_stress_set,paper/shared/evidence/raw/grscene_vlm_grounding/stress_score_summary.json
qwen25_expanded30,Qwen2.5-VL,diagnostic,structured_text,normalized-1000 primary; raw-pixel diagnostic,30,55/60,29/30,29/30,27/29,24/26,22/29,19/29,3/29,3/29,22/28,17/28,24/28,1/28,23/25,second_model_diagnostic_under_expanded30_manifest,paper/shared/evidence/raw/grscene_vlm_grounding/stress_expanded30_probes/qwen25_stress_expanded30_structured_score_summary.json
