row_id,model,response_format,coordinate_policy,answer_rows,pair_count,point_rows_original,point_rows_converted,answer_original,answer_converted,raw_point_original,raw_point_converted,norm1000_point_original,norm1000_point_converted,raw_pair_hit_agreement,raw_both_hit_pairs,norm1000_pair_hit_agreement,norm1000_both_hit_pairs,pair_note,claim_boundary,source_score_summary
gemma4_clean_pool_pass15,Gemma4 local,structured_text,normalized-1000 request over 15 clean PASS pairs,30/30,15,15/15,15/15,15/15,15/15,0/15,0/15,8/15,6/15,15/15,0/15,11/15,5/15,"Norm-1000: 11/15 same hit status; 5/15 both-hit; mean point delta 27.90 px",pilot_clean_pool_probe_only_not_final_vlm_performance,paper/shared/evidence/raw/grscene_vlm_grounding/clean_pool_probes/gemma4_clean_pool_pass15_score_summary.json
qwen25_clean_pool_pass15_structured,Qwen2.5-VL structured,structured_text,normalized-1000 request; coordinate semantics unresolved,23/30,15,14/15,15/15,8/11,9/12,5/14,5/15,0/14,0/15,9/14,2/14,14/14,0/14,"Coordinate semantics unresolved; norm agreement is 14/14 only because all comparable norm points miss; raw pair agreement 9/14 with 2/14 both-hit",pilot_clean_pool_probe_only_not_final_vlm_performance,paper/shared/evidence/raw/grscene_vlm_grounding/clean_pool_probes/qwen25_clean_pool_pass15_structured_score_summary.json
