row_id,model,response_format,coordinate_policy,answer_rows,pair_count,point_rows_original,point_rows_converted,answer_original,answer_converted,raw_point_original,raw_point_converted,norm1000_point_original,norm1000_point_converted,raw_pair_hit_agreement,raw_both_hit_pairs,norm1000_pair_hit_agreement,norm1000_both_hit_pairs,pair_note,claim_boundary,source_score_summary
gemma4_pass_only,Gemma4 local,json,historical pixel prompt; normalized-1000 diagnostic,8/8,4,4/4,4/4,4/4,4/4,0/4,0/4,4/4,3/4,4/4,0/4,3/4,3/4,Norm-1000: 3/4 same hit status; 3/4 both-hit; mean point delta 27.05 px,pilot_probe_only_not_final_vlm_performance,paper/shared/evidence/raw/grscene_vlm_grounding/probes/gemma4_pass_only_score_summary.json
qwen25_json,Qwen2.5-VL direct JSON,json,normalized-1000 request; malformed JSON diagnostic,0/8,4,0/4,0/4,--,--,--,--,--,--,--,--,--,--,"Malformed JSON/addCriterion fragments; response-format diagnostic, not performance",response_format_diagnostic_not_performance,paper/shared/evidence/raw/grscene_vlm_grounding/probes/qwen25_pass_only_score_summary.json
qwen25_structured,Qwen2.5-VL structured,structured_text,normalized-1000 request; coordinate semantics unresolved,8/8,4,3/4,4/4,3/4,3/4,2/3,2/4,0/3,0/4,2/3,1/3,3/3,0/3,Coordinate semantics unresolved; norm pair agreement is 3/3 only because all comparable norm points miss; 0/3 both-hit,pilot_probe_only_not_final_vlm_performance,paper/shared/evidence/raw/grscene_vlm_grounding/probes/qwen25_pass_only_structured_score_summary.json
