row_id,model,response_format,coordinate_policy,answer_rows,pair_count,point_rows_original,point_rows_converted,answer_original,answer_converted,raw_point_original,raw_point_converted,norm1000_point_original,norm1000_point_converted,raw_pair_hit_agreement,raw_both_hit_pairs,norm1000_pair_hit_agreement,norm1000_both_hit_pairs,pair_note,claim_boundary,source_score_summary
gemma4_zoom_stress,Gemma4 local,structured_text,normalized-1000 request over 14 zoom material-shift stress pairs,28/28,14,14/14,14/14,14/14,14/14,1/14,1/14,11/14,13/14,14/14,1/14,12/14,11/14,"Zoom views make the target larger; Gemma4 keeps answer accuracy and has high normalized-1000 point hits despite visible material shifts",pilot_zoom_material_shift_probe_only_not_final_vlm_performance,paper/shared/evidence/raw/grscene_vlm_grounding/zoom_stress_probes/gemma4_zoom_stress_score_summary.json
qwen25_zoom_stress_structured,Qwen2.5-VL structured,structured_text,normalized-1000 request; coordinate semantics still mixed,26/28,14,14/14,13/14,12/14,10/12,9/14,6/13,3/14,3/13,8/13,5/13,9/13,1/13,"Qwen remains protocol-sensitive; raw points score better than normalized-1000 and converted raw hits drop from 9/14 to 6/13",pilot_zoom_material_shift_probe_only_not_final_vlm_performance,paper/shared/evidence/raw/grscene_vlm_grounding/zoom_stress_probes/qwen25_zoom_stress_structured_score_summary.json
