row_id,split,model,prompt_frame,answer,raw_point,norm1000_point,raw_pair,norm1000_pair,interpretation,source_score_summary,source_metadata
clean_gemma4,clean,Gemma4,normalized_1000,15/15 / 15/15,0/15 / 0/15,8/15 / 6/15,15/15 same; 0/15 both-hit,11/15 same; 5/15 both-hit,normalized-1000 scoring is the intended protocol,paper/shared/evidence/raw/grscene_vlm_grounding/clean_pool_probes/gemma4_clean_pool_pass15_score_summary.json,paper/shared/evidence/raw/grscene_vlm_grounding/clean_pool_probes/gemma4_clean_pool_pass15_predictions.jsonl.metadata.json
clean_qwen25,clean,Qwen2.5-VL,normalized_1000,8/11 / 9/12,5/14 / 5/15,0/14 / 0/15,9/14 same; 2/14 both-hit,14/14 same; 0/14 both-hit,raw diagnostic scores higher; coordinate semantics unresolved,paper/shared/evidence/raw/grscene_vlm_grounding/clean_pool_probes/qwen25_clean_pool_pass15_structured_score_summary.json,paper/shared/evidence/raw/grscene_vlm_grounding/clean_pool_probes/qwen25_clean_pool_pass15_structured_predictions.jsonl.metadata.json
zoom_gemma4,zoom-stress,Gemma4,normalized_1000,14/14 / 14/14,1/14 / 1/14,11/14 / 13/14,14/14 same; 1/14 both-hit,12/14 same; 11/14 both-hit,normalized-1000 scoring is the intended protocol,paper/shared/evidence/raw/grscene_vlm_grounding/zoom_stress_probes/gemma4_zoom_stress_score_summary.json,paper/shared/evidence/raw/grscene_vlm_grounding/zoom_stress_probes/gemma4_zoom_stress_predictions.jsonl.metadata.json
zoom_qwen25,zoom-stress,Qwen2.5-VL,normalized_1000,12/14 / 10/12,9/14 / 6/13,3/14 / 3/13,8/13 same; 5/13 both-hit,9/13 same; 1/13 both-hit,raw and normalized diagnostics disagree; coordinate semantics unresolved,paper/shared/evidence/raw/grscene_vlm_grounding/zoom_stress_probes/qwen25_zoom_stress_structured_score_summary.json,paper/shared/evidence/raw/grscene_vlm_grounding/zoom_stress_probes/qwen25_zoom_stress_structured_predictions.jsonl.metadata.json
