row_type,scene_id,condition,scene_count,success_count,failure_count,total_ready_s,warmup_fps,gpu_memory_mb
aggregate,all_official_scenes,original_mdl,3,9,0,"13.95 [11.64, 16.28]","2.36 [2.01, 2.70]","3807 [3748, 3862]"
aggregate,all_official_scenes,convertasset_nomdl,3,9,0,"14.12 [12.31, 16.24]","2.42 [2.08, 2.73]","3829 [3689, 3971]"
per_scene,kujiale_0031,original_mdl,1,3,0,"11.24 [10.86, 11.62]","2.82 [2.75, 2.89]","3809 [3729, 3906]"
per_scene,kujiale_0031,convertasset_nomdl,1,3,0,"11.45 [10.87, 12.14]","2.92 [2.74, 3.07]","3948 [3905, 3970]"
per_scene,kujiale_0036,original_mdl,1,3,0,"18.73 [17.94, 19.92]","1.66 [1.57, 1.72]","3767 [3613, 3878]"
per_scene,kujiale_0036,convertasset_nomdl,1,3,0,"18.42 [17.96, 19.21]","1.75 [1.68, 1.80]","3544 [3521, 3557]"
per_scene,kujiale_0066,original_mdl,1,3,0,"11.87 [11.77, 11.99]","2.61 [2.59, 2.64]","3845 [3733, 3909]"
per_scene,kujiale_0066,convertasset_nomdl,1,3,0,"12.49 [12.19, 12.86]","2.58 [2.52, 2.66]","3994 [3829, 4213]"
